"Tourist_Locations","Domestic_Overnight_Visitors","Foreign_Overnight_Visitors","Total_Overnight_Visitors","Estimated_Day_Visitors","Total Visitors+ Day Visitors","","","","","","","",""
"Mar-06","737900","20715","783270","1541885","","","","","","","","",""
"Apr-06","749385","21635","787573","1558593","","","","","","","","",""
"Total","6876441","121285","11337955","18335681","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 5.3: Location wise number of Domestic Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Location","May","June","July","August","September","October","November","December","January","February","March","April","Total"
"Bangalore","101221","48215","46215","116697","158617","235596","282391","317137","286421","329437","312728","321741","2556416"
"Palace","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lalbagh","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tipu Sultan's Palace","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Planetarium","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nandi Hills","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Banerghatta National Park","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sawandurga","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shivaganga","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kolar","1985","1405","2600","2977","1463","2541","2357","2310","2141","4250","4375","4436","32840"
"Tumkur","5143","5171","7075","9341","7864","9145","6999","7652","6872","8752","9114","9234","92362"
"Siddrabatta","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yediure","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GorVanahali","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mysore","52531","68371","56106","44190","54002","175158","183485","186092","102540","155366","161214","161312","1400367"
"Zoo","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Palace","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chamundi Hills","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vrindavan Gardens","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shrirangapatnam","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shivanasamudram","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shravanbelagola","0","0","0","0","0","0","0","4002","0","0","0","0","4002"
"Mandya","6703","2860","2792","3208","2834","4672","3000","11129","2513","2804","4007","3995","50517"
"Belgaum","4850","7545","19190","16794","11717","11182","11950","8694","12864","10004","11146","11216","137152"
"Karwar","3282","4592","6728","8586","10018","8351","8306","4957","7983","7119","8901","8871","87694"
"Dharwad","3060","5003","5424","5886","6738","7230","4810","42233","5100","4911","5280","5249","100924"
"Hubli","11279","11707","25097","27109","27404","33393","43353","6120","44379","21113","23170","23250","297374"
"Davanager","0","0","0","0","0","5547","5547","0","7562","5652","5734","5816","35858"
"Murudeshwar","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gokarna","0","0","0","0","0","0","0","29951","0","0","0","0","29951"
"Mangalore","22578","18959","22439","23620","26397","35058","34455","28043","34053","32335","37322","37050","352309"
"Udupi","17504","12654","14148","17447","16278","17543","17007","0","29417","39654","23333","24703","229688"
"Kolur","0","0","0","0","0","0","0","12203","0","0","0","0","12203"
"Shimoga","35247","12828","16650","20666","10119","11168","11579","9113","13421","11325","11154","11203","174473"
"Hassan","11851","9493","15111","15176","10420","10487","8862","6495","8653","9198","9763","9872","125381"
"Chikamagalur","13352","6685","9081","9027","5742","6147","4111","0","5982","4124","4266","4278","72795"
"National Park","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bhadra Wildlife Sanctuary","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shringeri","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jog Falls","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Horanado","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kukusubranjini","0","0","0","0","0","0","0","1332","0","0","0","0","1332"
"Hampi","0","451","354","95","1325","344","3046","12678","2462","2670","3218","3250","29893"
"Hospet","13149","6327","7525","9438","8940","9502","10759","0","13525","13526","12435","12514","117640"
"Lakundi","0","0","0","0","0","0","0","8155","0","0","0","0","8155"
"Raichur","7038","5088","6769","5946","5561","6102","8182","8476","8195","7942","7641","7600","84540"
"Chitradurga","9496","5533","7433","7286","6946","7805","8497","16914","8641","9181","8560","8500","104792"
"Gulbarga","14600","11531","9969","12944","18665","19636","19963","0","14292","19933","17013","17112","175658"
"Ganigapura","0","0","0","0","0","0","0","7174","0","0","0","0","7174"
"Bidar","4751","3782","3924","4584","5481","6410","6588","0","7045","7584","8619","8600","67368"
"Basvakalyan","0","0","0","0","0","0","0","12609","0","0","0","0","12609"
"Bijapur","16100","15102","14866","14474","13347","14125","13786","4204","15081","20466","18127","18250","177928"
"Bagalkot","5493","5375","4696","5102","4606","5412","4868","8501","4674","4154","5191","5178","63250"
"Madikeri","18449","8676","15081","16855","11491","13817","11894","1695","9612","8064","8656","9144","133434"
"Charmarajanagar","1173","2308","2397","3883","1947","1762","1774","0","3845","1689","1716","1761","24255"
"Malai Mahadeshwar","0","0","0","0","0","0","0","13703","0","0","0","0","13703"
"Kamalapur","0","0","49","55","75","102","1231","0","15863","14562","15217","15250","62404"
"Sirsi","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humcha","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","380835","279661","321719","401386","427997","658235","718800","771572","673136","755815","737900","749385","6876441"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 5.4: Location wise number of Foreign Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Location","May","June","July","August","September","October","November","December","January","February","March","April","Total"
"Bangalore","1063","105","115","575","224","1252","1153","4108","6531","10432","8128","8432","42118"
"Palace","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lalbagh","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tipu Sultan's Palace","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Planetarium","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nandi Hills","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Banerghatta National Park","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sawandurga","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shivaganga","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kolar","1","2","0","0","0","65","0","0","0","0","0","0","68"
"Tumkur","0","1","0","0","36","75","0","0","0","0","0","0","112"
"Siddrabatta","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yediure","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GorVanahali","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mysore","914","3252","1325","2113","1364","2364","2836","2806","5128","6935","7221","7525","43783"
"Zoo","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Palace","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chamundi Hills","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vrindavan Gardens","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shrirangapatnam","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shivanasamudram","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shravanbelagola","0","0","0","0","0","0","0","5","0","0","0","0","5"
"Mandya","80","3","0","0","22","2","0","7","5","12","12","18","161"
"Belgaum","0","9","0","0","0","2","0","16","11","38","18","32","126"
"Karwar","469","44","4","0","25","23","78","2","14","84","16","9","768"
"Dharwad","0","37","0","0","15","2","0","49","2","28","5","16","154"
"Hubli","0","17","9","20","14","29","4","0","44","330","250","275","992"
"Davanager","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Murudeshwar","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gokarna","0","0","0","0","0","0","0","152","0","0","0","0","152"
"Mangalore","92","90","71","30","75","20","25","77","231","250","191","229","1381"
"Udupi","637","4","9","30","17","19","202","0","111","191","125","187","1532"
"Kolur","0","0","0","0","0","0","0","7","0","0","0","0","7"
"Shimoga","59","4","4","0","4","26","1","118","4","131","163","197","711"
"Hassan","203","110","91","44","67","40","85","20","92","308","125","122","1307"
"Chikamagalur","87","7","5","7","6","4","16","0","16","17","16","19","200"
"National Park","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bhadra Wildlife Sanctuary","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shringeri","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jog Falls","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Horanado","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kukusubranjini","0","0","0","0","0","0","0","2038","0","0","0","0","2038"
"Hampi","0","289","518","808","513","537","1245","201","2074","2178","1817","1875","12055"
"Hospet","234","25","207","188","125","297","54","0","207","623","828","850","3638"
"Lakundi","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Raichur","6","4","10","3","10","3","0","23","4","12","4","14","93"
"Chitradurga","19","682","3","276","0","8","3","48","16","738","825","812","3430"
"Gulbarga","52","78","61","67","64","134","51","0","35","49","48","54","693"
"Ganigapura","0","0","0","0","0","0","0","23","0","0","0","0","23"
"Bidar","16","14","18","13","22","8","12","0","21","28","26","32","210"
"Basvakalyan","0","0","0","0","0","0","0","202","0","0","0","0","202"
"Bijapur","30","20","87","122","358","458","294","0","338","548","154","165","2574"
"Bagalkot","4","0","0","0","0","0","0","209","0","0","0","0","213"
"Madikeri","232","4","10","12","26","14","124","0","112","436","725","750","2445"
"Charmarajanagar","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malai Mahadeshwar","0","0","0","0","0","0","0","16","0","0","0","0","16"
"Kamalapur","0","0","0","0","0","0","0","0","16","22","18","22","78"
"Sirsi","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humcha","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","4198","4801","2547","4308","2987","5382","6183","10127","15012","23390","20715","21635","121285"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 5.5: Location wise number of Day Tourists","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Location","May","June","July","August","September","October","November","December","January","February","March","April","Total"
"Bangalore","","0","0","0","0","0","0","0","0","0","0","0","0"
"Palace","22300","22316","12125","13215","15215","16214","18415","19415","16487","20112","22105","22185","251216"
"Lalbagh","14562","30215","21514","20124","22514","24157","31254","36354","26459","38320","42520","42625","377307"
"Tipu Sultan's Palace","22516","26879","22158","22158","26548","23214","22354","32654","21578","18475","20215","21124","293941"
"Planetarium","32654","22154","11024","10215","15417","17454","18745","19874","18963","20154","32124","32417","241057"
"Nandi Hills","25418","23145","13298","14215","16587","18954","21014","22154","20573","20000","20500","21172","244266"
"Banerghatta National Park","10215","22147","10425","12324","11254","16541","22145","23125","24831","1523","1783","1680","173196"
"Sawandurga","","0","0","0","0","514","615","1897","2685","3275","4224","4332","17542"
"Shivaganga","","0","0","0","0","645","715","1654","3189","14500","15200","15250","51153"
"Kolar","8564","0","15412","16421","17894","18471","19874","16598","15462","7500","8200","8500","154547"
"Tumkur","","11858","24514","23514","24518","26547","23541","22365","17245","0","4250","4500","191416"
"Siddrabatta","","5648","0","0","0","1215","1187","1698","2100","4832","4716","4650","26046"
"Yediure","","0","0","0","0","3154","3874","4125","7542","2263","2372","2250","25580"
"GorVanahali","","0","0","0","0","3874","3365","4415","7900","17500","18242","18412","73708"
"Mysore","","0","0","0","0","0","0","0","0","0","0","0","0"
"Zoo","35642","0","15879","16215","17848","41257","44125","43254","26870","2500","2850","2750","349190"
"Palace","41569","75987","10215","18715","19874","35418","36547","39874","36450","450","500","750","416349"
"Chamundi Hills","62451","31548","15214","14215","15412","33214","37145","36987","28945","2500","3200","3500","384331"
"Vrindavan Gardens","121641","35648","10102","11215","12215","32541","33654","35124","32781","7000","7500","7450","346871"
"Shrirangapatnam","36254","23215","16214","15784","16412","29874","30124","32874","28945","32560","33718","33615","429589"
"Shivanasamudram","51214","56487","29879","19514","20145","32145","33125","36012","26154","42500","43200","43500","533875"
"Shravanbelagola","16541","10214","0","0","0","0","0","31254","0","0","0","0","41468"
"Mandya","12324","10241","21548","23548","21415","24157","28745","29784","28700","2804","4019","3974","215476"
"Belgaum","10215","18547","16547","18547","22145","26541","22587","30124","26000","10042","11164","11198","225766"
"Karwar","12154","19879","17815","19547","20124","23145","28745","36589","25000","7203","8917","8880","226059"
"Dharwad","15415","25487","16542","17845","16547","23654","25545","38974","30000","4939","5285","5312","222284"
"Hubli","35642","16548","18748","19541","17845","21457","22648","0","28712","0","23261","23315","207490"
"Davanager","","0","0","0","0","0","0","30125","20456","3675","2573","2522","59351"
"Murudeshwar","41250","25489","19874","20154","22145","23145","28798","38974","24893","42500","44260","44300","375782"
"Gokarna","31254","16548","14589","18741","20147","22784","25478","17254","32450","7800","8250","8300","223595"
"Mangalore","5486","0","0","0","0","0","0","8974","15600","32585","37513","37590","132262"
"Udupi","1256","0","0","0","0","0","0","2158","12785","39845","42516","42750","140054"
"Kolur","","0","0","0","0","754","1128","0","10450","36000","38215","38316","124863"
"Shimoga","2145","0","0","0","0","0","0","0","0","11456","11317","11287","34060"
"Hassan","2689","0","0","0","0","0","0","0","0","1209506","9853","9794","1229153"
"Chikamagalur","","0","0","0","0","0","0","32154","0","0","0","0","32154"
"National Park","36548","16458","16548","18748","19874","20145","28974","33265","22450","8000","7528","7500","236038"
"Bhadra Wildlife Sanctuary","32514","30215","28471","29874","28745","26784","22548","27894","26450","550","642","654","255341"
"Shringeri","24158","21548","20145","22154","23115","23654","28745","25415","21500","1580","1683","1575","215272"
"Jog Falls","29218","26487","23125","24198","25147","28745","26451","1784","24500","34152","36715","36812","317334"
"Horanado","","0","0","0","0","250","1254","1664","2850","1825","1932","2200","11975"
"Kukusubranjini","","0","0","0","0","550","1554","21458","3250","2526","3020","3100","35458"
"Hampi","28974","21471","20145","22315","23331","28745","29845","26412","20500","4848","3349","3412","233347"
"Hospet","11254","18879","16458","17236","16874","26415","27458","20125","19585","14149","13263","13317","215013"
"Lakundi","11568","10245","17415","18215","19147","22315","24516","19874","18750","3452","4215","4250","173962"
"Raichur","10201","19879","18798","19215","20145","26417","22587","20145","15600","7954","7645","7655","196241"
"Chitradurga","10458","16987","21514","20154","21415","22879","23654","22136","18050","9919","8577","8600","204343"
"Gulbarga","13648","17897","16547","18745","16547","18745","20154","841","16750","0","17061","17000","173935"
"Ganigapura","","0","0","0","0","558","698","18974","2450","450","350","400","23880"
"Bidar","16487","16548","19748","13254","17418","18748","20145","984","16840","7612","8645","8500","164929"
"Basvakalyan","","0","0","0","0","450","715","26541","1500","35612","35718","35812","136348"
"Bijapur","14213","18797","18745","16245","18469","19874","26548","25412","21687","21014","32012","32150","265166"
"Bagalkot","32145","19874","16425","17845","21015","22154","28975","32154","20500","2814","5191","5200","224292"
"Madikeri","23112","26548","22514","23648","22147","26547","30124","36541","26900","8500","9216","9279","265076"
"Charmarajanagar","15478","26415","23154","22874","23654","28791","33215","1879","28500","1689","1716","1778","209143"
"Malai Mahadeshwar","","0","0","0","0","750","1254","16789","6500","35612","35252","35075","141477"
"Kamalapur","","0","9879","10245","12415","18415","19875","0","12500","1834","2014","2054","78986"
"Sirsi","","0","0","0","0","2578","3125","3321","7500","5600","5714","5750","33588"
"Humcha","","0","0","0","0","1215","3312","3546","8500","7500","7250","7300","38623"
"Total","945705","838448","663267","680732","721679","926764","1011218","1113971","983817","1881511","783270","787573","11337955"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 6-3: Gender Classification of Overnight Visitors to the State of Karnataka","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Gender","Percentage Distribution","","","","","","","","","","","",""
"","Domestic","Foreign","Total","","","","","","","","","",""
"Male","73.1","68.4","72.7","","","","","","","","","",""
"Female","26.9","31.6","27.3","","","","","","","","","",""
"Total","100","100","100","","","","","","","","","",""
"","","","","","","","","","","","","",""
"The table above depicts the fact that majority of the domestic and foreign overnight visitors in the State for the period were male members.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 6-4: Overnight Visitors to the State of Karnataka and their Occupation","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Occupation","Category of Visitor","","","","","","","","","","","",""
"","Domestic","Foreign","Total","","","","","","","","","",""
"Businessmen/ Industrialists/ Trader/ Shopkeeper","22.1","17.2","21.7","","","","","","","","","",""
"Professional","26.6","18.4","25.9","","","","","","","","","",""
"Government Service","14","16.3","14.2","","","","","","","","","",""
"Private Service","15.9","19","16.2","","","","","","","","","",""
"Agriculture","3","7.7","3.4","","","","","","","","","",""
"Student Researcher","12.6","8.4","12.2","","","","","","","","","",""
"Housewife","1.8","6.2","2.2","","","","","","","","","",""
"Retired","2.3","3.3","2.4","","","","","","","","","",""
"Others","1.6","3.5","1.8","","","","","","","","","",""
"Total","100","100","100","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Majority of the domestic overnight visitors to the State during the period were Professionals, Businessmen and those engaged in private services as well as Government services.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 6-5: Domestic Overnight Visitors and their annual Household income","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Annual Household Income (Rs.)","Percentage Distribution","","","","","","","","","","","",""
"Less than 60000","30.6","","","","","","","","","","","",""
"60001 � 100000","24.2","","","","","","","","","","","",""
"100001 � 200000","29.1","","","","","","","","","","","",""
"200001 � 500000","12.9","","","","","","","","","","","",""
"Above 500001","3.2","","","","","","","","","","","",""
"Total","100","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 6-9: Overnight Visitors and their purpose of visiting the State","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Purpose of Visit","Percentage Distribution","","","","","","","","","","","",""
"","Domestic","Foreign","Total","","","","","","","","","",""
"Leisure & Holiday","","","","","","","","","","","","",""
"? Cultural Activities","48.3","41.6","47.7","","","","","","","","","",""
"? Resorts","15.6","18","15.8","","","","","","","","","",""
"? Wildlife","14.1","11","13.8","","","","","","","","","",""
"Visiting Friends and Family","4.3","3.7","4.2","","","","","","","","","",""
"Business & Professional","5.1","4.3","5","","","","","","","","","",""
"Health and Treatment","0","2","0.2","","","","","","","","","",""
"Social/ Religious Function","1.9","10.8","2.7","","","","","","","","","",""
"Pilgrimage","2.9","2.4","2.8","","","","","","","","","",""
"Conference","0","0","0","","","","","","","","","",""
"Others","7.9","6.2","7.7","","","","","","","","","",""
"Total","100","100","100","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7-1: Location wise Overnight Visitors and Bed night spent","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","No. of Guests Checked in","","Total No. of Bed Nights Spent","","","","","","","","","",""
"Centers","Domestic","Foreign","Domestic","Foreign","","","","","","","","",""
"Bangalore","2435576","42118","4073469","64885","","","","","","","","",""
"Kolar","31440","68","58878","79","","","","","","","","",""
"Tumkur","86737","112","161373","212","","","","","","","","",""
"Mysore","1328200","43783","1952417","64057","","","","","","","","",""
"Shravanbelagola","3602","5","7865","12","","","","","","","","",""
"Mandya","46395","161","67537","179","","","","","","","","",""
"Belgaum","134890","126","245283","152","","","","","","","","",""
"Karwar","84691","768","150299","2460","","","","","","","","",""
"Dharwad","97866","154","117775","153","","","","","","","","",""
"Hubli","284672","992","581680","1512","","","","","","","","",""
"Davnegar","33926","0","68233","0","","","","","","","","",""
"Gokarna","28753","152","2564","163","","","","","","","","",""
"Mangalore","333242","1381","714734","3000","","","","","","","","",""
"Udupi","220055","1532","590866","3702","","","","","","","","",""
"Kolur","12203","7","6987","12","","","","","","","","",""
"Shimoga","165240","711","297561","810","","","","","","","","",""
"Hassan","121649","1307","205250","2250","","","","","","","","",""
"Chikamagalur","69956","200","128212","302","","","","","","","","",""
"Kukusubranjini","1279","2038","1675","1456","","","","","","","","",""
"Hampi","29175","12055","55291","21625","","","","","","","","",""
"Hospet","113028","3638","169973","5748","","","","","","","","",""
"Lakundi","7829","0","6798","0","","","","","","","","",""
"Raichur","80427","93","129268","142","","","","","","","","",""
"Chitradurga","100098.8","3430","138544","5033","","","","","","","","",""
"Gulbarga","168200.6","693","505420","2748","","","","","","","","",""
"Ganigapura","7102","23","7651","94","","","","","","","","",""
"Bidar","64323","210","210586","630","","","","","","","","",""
"Basvakalyan","12357","202","764157","2997","","","","","","","","",""
"Bijapur","171884","2574","265033","4692","","","","","","","","",""
"Bagalkot","60812","213","91173","4","","","","","","","","",""
"Madikeri","129361","2445","237912","4461","","","","","","","","",""
"Charmarajanagar","23197","0","41330","0","","","","","","","","",""
"Malai Mahadeshwar","13703","16","6756","23","","","","","","","","",""
"Kamalapur","61421","78","142830","166","","","","","","","","",""
"Total","6563290","121285","12205380","193759","","","","","","","","",""
"","","","","","","","","","","","","",""
"The table depicts the fact that there had been 6563290 domestic overnight visitors in the State of Karnataka during period of May 2005 - April 2006 and they have, in totality, spent 12205380 bed nights. In totality 121285 foreigners have visited the State and have spent 193759 bed nights.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 7-2: Domestic Overnight Visitors � Origin and Bed nights spent","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"State of Origin","No. of Domestic Overnight Visitors","Total Bed Nights Spent","","","","","","","","","","",""
"J&K","33888","76585","","","","","","","","","","",""
"HP","27320","75526","","","","","","","","","","",""
"Punjab","82492","167798","","","","","","","","","","",""
"Haryana","46674","105442","","","","","","","","","","",""
"Uttarnchal","23167","69233","","","","","","","","","","",""
"UP","157488","294253","","","","","","","","","","",""
"Delhi","447152","859441","","","","","","","","","","",""
"Chandigarh","20418","60818","","","","","","","","","","",""
"Tripura","22621","60900","","","","","","","","","","",""
"Meghalaya","20424","61484","","","","","","","","","","",""
"Mizoram","11622","40952","","","","","","","","","","",""
"Sikkim","28701","70859","","","","","","","","","","",""
"West Bengal","499525","845798","","","","","","","","","","",""
"Orissa","47830","103437","","","","","","","","","","",""
"Rajasthan","126381","243573","","","","","","","","","","",""
"Gujarat","251613","456087","","","","","","","","","","",""
"Maharashtra","682848","1227241","","","","","","","","","","",""
"MP","106298","203979","","","","","","","","","","",""
"Chattisgarh","22269","66489","","","","","","","","","","",""
"Bihar","73881","146552","","","","","","","","","","",""
"Jharkhand","47372","109943","","","","","","","","","","",""
"Andhra Pradesh","777943","1356692","","","","","","","","","","",""
"Karnataka","1043397","1838281","","","","","","","","","","",""
"Kerala","821411","1447193","","","","","","","","","","",""
"Tamil Nadu","818899","1438982","","","","","","","","","","",""
"Arunachal Pradesh","11842","44564","","","","","","","","","","",""
"Assam","37870","86553","","","","","","","","","","",""
"Nagaland","31939","77124","","","","","","","","","","",""
